,content
706,"Rất vô tư chúc tụng mà quên mất mình là công bộc của dân

Rất vô tư chúc tụng mà quên mất mình là công bộc của dân

CANHCO.NET
Đà Nẵng: Loạt xe biển xanh vô tư chở người đến nhậu say sưa tại nhà hàng Phố biển
Ngày 18/04, theo phản ánh của bạn đọc, hàng loạt xe biển số xanh thuộc cơ quan Nhà nước của thành phố Đà Nẵng thay vì thực hiện công vụ lại 'đi' vào quán

CANHCO.NET
Đà Nẵng: Loạt xe biển xanh vô tư chở người đến nhậu say sưa tại nhà hàng Phố biển"
707,"Kiểu này mà vượt biên là toang... Mọi người thấy trường hợp nào khả nghi cần báo công an ngay!

Kiểu này mà vượt biên là toang... Mọi người thấy trường hợp nào khả nghi cần báo công an ngay!

CANHCO.NET
Phát hiện 2 biến chủng COVID-19 đáng lo ngại ở các bệnh nhân từ Campuchia về Việt Nam
Theo Bộ Y tế, Kết quả Viện Pasteur thành phố Hồ Chí Minh tiến hành giải trình tự gen của các trường hợp nhập cảnh từ Campuchia vào Việt Nam cho thấy có 2

CANHCO.NET
Phát hiện 2 biến chủng COVID-19 đáng lo ngại ở các bệnh nhân từ Campuchia về Việt Nam"
708,"Thế này mới có chuyện đổ oan cho bà Nguyễn Thị Kim Ngân suốt 3 năm trời.

Thế này mới có chuyện đổ oan cho bà Nguyễn Thị Kim Ngân suốt 3 năm trời.

CANHCO.NET
Bay chui sang Hàn Quốc: Không có quy trình thẩm định doanh nghiệp tháp tùng lãnh đạo?
Cơ quan điều tra xác định, một trong những nguyên nhân khiến 9 người đi lậu trên chuyên cơ sang Hàn Quốc là chưa có quy trình thủ tục để lựa chọn, thẩm

CANHCO.NET
Bay chui sang Hàn Quốc: Không có quy trình thẩm định doanh nghiệp tháp tùng lãnh đạo?"
709,"""Mọi thứ đã vượt khỏi tầm kiểm soát. Ôxy cạn kiệt. Hệ thống y tế gần như sụp đổ"" - Giám đốc Trung tâm nghiên cứu Dịch bệnh tại New Delhi.

""Mọi thứ đã vượt khỏi tầm kiểm soát. Ôxy cạn kiệt. Hệ thống y tế gần như sụp đổ"" - Giám đốc Trung tâm nghiên cứu Dịch bệnh tại New Delhi.

CANHCO.NET
Con trai Tổng Bí thư Ấn Độ chết vì Covid và những số liệu kinh khủng
Tại Ấn Độ ngay giờ phút này, cái chết không từ một ai, Tổng bí thư Đảng Cộng sản Ấn Độ cũng có người con trai lớn vừa chết vì Covid. Ngay cả cựu Thủ tướng

CANHCO.NET
Con trai Tổng Bí thư Ấn Độ chết vì Covid và những số liệu kinh khủng"
710,"Căng rồi, bà con ra đường cần tuân thủ quy tắc 5K nhé không thội sẽ như Campuchia, Thái LAn và Ấn Độ !!

Căng rồi, bà con ra đường cần tuân thủ quy tắc 5K nhé không thội sẽ như Campuchia, Thái LAn và Ấn Độ !!

CANHCO.NET
Bộ trưởng Y tế: ‘Dịch lần này sẽ tàn khốc hơn’
Bức tranh tổng thể Covid-19 trong khu vực cho thấy nguy cơ lớn dịch xâm nhập vào Việt Nam và tàn khốc hơn. Bộ trưởng Nguyễn Thanh Long cho biết ngành y tế

CANHCO.NET
Bộ trưởng Y tế: ‘Dịch lần này sẽ tàn khốc hơn’"
711,"Làm thế nào Việt Nam thể kiểm soát số lượng ca nhiễm thấp như vậy khi có chung đường biên giới với Trung Quốc, và thậm chí tăng trưởng kinh tế còn đạt mức cao trong năm qua?

Làm thế nào Việt Nam thể kiểm soát số lượng ca nhiễm thấp như vậy khi có chung đường biên giới với Trung Quốc, và thậm chí tăng trưởng kinh tế còn đạt mức cao trong năm qua?

CANHCO.NET
Báo Mỹ: Bất chấp cảnh báo về việc đóng cửa biên giới, nhờ đâu Việt Nam thành công?
Làm thế nào quốc gia này có thể kiểm soát số lượng ca nhiễm thấp như vậy khi có chung đường biên giới với Trung Quốc, và thậm chí tăng trưởng kinh tế còn

CANHCO.NET
Báo Mỹ: Bất chấp cảnh báo về việc đóng cửa biên giới, nhờ đâu Việt Nam thành công?"
712,"Hơn một năm trước, ngày 11-4-2020, chiến sĩ cảnh sát cơ động Công an Đồng Nai Phan Đức Mạnh phải cưa bỏ một chân vì bị ""quái xế"" tông thẳng vào người khi đi tuần tra một vụ đua xe trái phép.
Một năm qua, Mạnh… More vẫn hi vọng một ngày nào đó nạn đua xe trái phép sẽ bị ngăn chặn. Bởi hơn ai hết, Mạnh hiểu được những hậu quả mà các ""quái xế"" gây ra khi chính anh là nạn nhân.
""Mình còn nhớ đêm tỉnh lại sau ca phẫu thuật chi, mình thấy mẹ bơ phờ vì thức trắng 1 ngày 1 đêm, đứng ngoài phòng hồi sức chờ mình tỉnh, cha thì ôm chiếc chân đã cắt bỏ từ 2/3 đùi trở xuống của mình về quê chôn. Thế là không kìm được nước mắt khi nhìn xuống một bên chân mình đã cắt bỏ sau ca phẫu thuật"" - Mạnh nhớ lại đêm kinh… More

Hơn một năm trước, ngày 11-4-2020, chiến sĩ cảnh sát cơ động Công an Đồng Nai Phan Đức Mạnh phải cưa bỏ một chân vì bị ""quái xế"" tông thẳng vào người khi đi tuần tra một vụ đua xe trái phép.

Một năm qua, Mạnh vẫn hi vọng một ngày nào đó nạn đua xe trái phép sẽ bị ngăn chặn. Bởi hơn ai hết, Mạnh hiểu được những hậu quả mà các ""quái xế"" gây ra khi chính anh là nạn nhân.

""Mình còn nhớ đêm tỉnh lại sau ca phẫu thuật chi, mình thấy mẹ bơ phờ vì thức trắng 1 ngày 1 đêm, đứng ngoài phòng hồi sức chờ mình tỉnh, cha thì ôm chiếc chân đã cắt bỏ từ 2/3 đùi trở xuống của mình về quê chôn. Thế là không kìm được nước mắt khi nhìn xuống một bên chân mình đã cắt bỏ sau ca phẫu thuật"" - Mạnh nhớ lại đêm kinh…

"
713,"Lõi bò Úc được bán với giá siêu rẻ thực chất là thịt trâu Ấn Độ hoặc thịt lợn nái được phù phép. Còn loại cua siêu gạch Na Uy có giá rẻ bán đầy chợ là hàng đông lạnh, không còn độ dai, thơm, ngọt của cua.
Thực… More chất lõi bò Úc siêu rẻ bán đầy chợ
Trong khi thịt bò Việt Nam được bán tại các chợ truyền thống giá từ 250.000-350.000 đồng/kg, thịt bò Úc bán tại các siêu thị hoặc các cửa hàng nhập khẩu có giá từ 350.000-800.000 đồng/kg thì trên chợ mạng thì lõi bò Úc đang được bán với giá rẻ giật mình, chỉ 120.000 đồng/kg.
Nói lí do vì sao giá thịt bò Úc lại rẻ hơn cả giá thịt lợn ngoài chợ, dân buôn mặt hàng này cho rằng do họ nhập số lượng lớn theo container nên giá rẻ hơn, đặc biệt dịp này đang… More

Lõi bò Úc được bán với giá siêu rẻ thực chất là thịt trâu Ấn Độ hoặc thịt lợn nái được phù phép. Còn loại cua siêu gạch Na Uy có giá rẻ bán đầy chợ là hàng đông lạnh, không còn độ dai, thơm, ngọt của cua.

Thực chất lõi bò Úc siêu rẻ bán đầy chợ

Trong khi thịt bò Việt Nam được bán tại các chợ truyền thống giá từ 250.000-350.000 đồng/kg, thịt bò Úc bán tại các siêu thị hoặc các cửa hàng nhập khẩu có giá từ 350.000-800.000 đồng/kg thì trên chợ mạng thì lõi bò Úc đang được bán với giá rẻ giật mình, chỉ 120.000 đồng/kg.

Nói lí do vì sao giá thịt bò Úc lại rẻ hơn cả giá thịt lợn ngoài chợ, dân buôn mặt hàng này cho rằng do họ nhập số lượng lớn theo container nên giá rẻ hơn, đặc biệt dịp này đang…

"
714,"Xin chia buồn cùng nước bạn.. :(

Xin chia buồn cùng nước bạn.. :(

CANHCO.NET
AP: “Toàn bộ 53 người trong tàu ngầm Indonesia bị chìm không ai sống sót’
Hãng tin AP cách đây ít giờ đăng tải bài viết chạy tiêu đề ""Hải quân Indonesia tuyên bố chiếc tàu ngầm mất tích đã chìm, toàn bộ 53 người bên trong thiệt

CANHCO.NET
AP: “Toàn bộ 53 người trong tàu ngầm Indonesia bị chìm không ai sống sót’"
715,"Vậy mới thấy những người dân sống ở đây họ chịu đựng 'giỏi' cỡ nào.. :(

Vậy mới thấy những người dân sống ở đây họ chịu đựng 'giỏi' cỡ nào.. :(

CANHCO.NET
Chủ tịch TP.HCM thốt lên: ‘Kinh khủng’ khi khảo sát rạch Xuyên Tâm
Sau chuyến khảo sát thực tế, Chủ tịch UBND TP.HCM nhận định dự án cải tạo, xây dựng rạch Xuyên Tâm mang tính cấp bách, cần bắt tay thực hiện ngay. Ngày

CANHCO.NET
Chủ tịch TP.HCM thốt lên: ‘Kinh khủng’ khi khảo sát rạch Xuyên Tâm"
716,"Thủ tướng Phạm Minh Chính đề nghị các nước ASEAN phối hợp tìm giải pháp cho vấn đề Myanmar
Chiều ngày 24/4, tại trụ sở Ban thư ký ASEAN, Jakarta, Indonesia, Thủ tướng Chính phủ Phạm Minh Chính dự Hội nghị các… More nhà Lãnh đạo ASEAN. Đây là Hội nghị trực tiếp lần đầu tiên giữa các Nhà Lãnh đạo ASEAN trong năm 2021 và sau gần 18 tháng các Hội nghị ASEAN phải họp trực tuyến do tình hình dịch bệnh COVID-19.
Các nhà Lãnh đạo ASEAN đã chân thành chúc mừng Thủ tướng Chính phủ Phạm Minh Chính được Quốc hội Việt Nam tín nhiệm bầu vào cương vị Thủ tướng Chính phủ nước Cộng hòa xã hội chủ nghĩa Việt Nam, hoan nghênh Thủ tướng lần đầu tiên tham dự Hội nghị của Lãnh đạo ASEAN.
Tại Hội nghị, các Nhà lãnh đạo… More

Thủ tướng Phạm Minh Chính đề nghị các nước ASEAN phối hợp tìm giải pháp cho vấn đề Myanmar

Chiều ngày 24/4, tại trụ sở Ban thư ký ASEAN, Jakarta, Indonesia, Thủ tướng Chính phủ Phạm Minh Chính dự Hội nghị các nhà Lãnh đạo ASEAN. Đây là Hội nghị trực tiếp lần đầu tiên giữa các Nhà Lãnh đạo ASEAN trong năm 2021 và sau gần 18 tháng các Hội nghị ASEAN phải họp trực tuyến do tình hình dịch bệnh COVID-19.

Các nhà Lãnh đạo ASEAN đã chân thành chúc mừng Thủ tướng Chính phủ Phạm Minh Chính được Quốc hội Việt Nam tín nhiệm bầu vào cương vị Thủ tướng Chính phủ nước Cộng hòa xã hội chủ nghĩa Việt Nam, hoan nghênh Thủ tướng lần đầu tiên tham dự Hội nghị của Lãnh đạo ASEAN.

Tại Hội nghị, các Nhà lãnh đạo…

"
717,"Người trong hình là đại sứ VN Phạm Sanh Châu tại Ấn Độ.
Anh Châu vừa đăng hình rơi nước mắt và trạng thái trên trang cá nhân mô tả thảm cảnh tại Ấn trong nạn dịch.
""Cứ tưởng Ấn Độ đã vượt qua thời kỳ nguy… More hiểm nhất, cán bộ và nhân viên trong Đại sứ quán sẽ bình an vì đã từng nhiễm bệnh. Nhưng không ! Điều tồi tệ nhất đang chờ ở phía trước. Ngay cả những ai đã tiêm 2 liều vắc-xin vẫn có thể nhiễm như cựu Thủ tướng Momanhant Singh. Nhiễm rồi vẫn có thể bị tái nhiễm.
Không muốn khóc mà nước mắt cứ trào ra. Nhìn ra đường chỉ nhìn toàn thấy xe cứu thương chạy ngược xuôi. Đến lò thiêu xác cũng quá tải đành mang xác ra vườn lấy cành khô trên cây mà đốt. Thương Ấn Độ quá Ấn Độ ơi, sao chỉ sau mấy… More

Người trong hình là đại sứ VN Phạm Sanh Châu tại Ấn Độ.

Anh Châu vừa đăng hình rơi nước mắt và trạng thái trên trang cá nhân mô tả thảm cảnh tại Ấn trong nạn dịch.

""Cứ tưởng Ấn Độ đã vượt qua thời kỳ nguy hiểm nhất, cán bộ và nhân viên trong Đại sứ quán sẽ bình an vì đã từng nhiễm bệnh. Nhưng không ! Điều tồi tệ nhất đang chờ ở phía trước. Ngay cả những ai đã tiêm 2 liều vắc-xin vẫn có thể nhiễm như cựu Thủ tướng Momanhant Singh. Nhiễm rồi vẫn có thể bị tái nhiễm.

Không muốn khóc mà nước mắt cứ trào ra. Nhìn ra đường chỉ nhìn toàn thấy xe cứu thương chạy ngược xuôi. Đến lò thiêu xác cũng quá tải đành mang xác ra vườn lấy cành khô trên cây mà đốt. Thương Ấn Độ quá Ấn Độ ơi, sao chỉ sau mấy…

"
718,"Tướng Nguyễn Chí Vịnh: ""Dân Việt Nam liều lắm, chở bom sau xe là bình thường""
Chia sẻ về giải quyết hậu qủa chiến tranh, tướng Vịnh nói: ""Chúng ta đã hợp tác với các cựu binh Mỹ. Và chính họ đã lên tiếng tác… More động Chính phủ Mỹ hợp tác với Việt Nam. Chúng ta phải cảm ơn nhân dân Mỹ"" #CanhCo
=====
Đình Thăng Vũ thang: Hãy một lần đến vùng biên giới tỉnh Bình Phước bạn sẽ cảm nhận được điều mà thượng tướng Nguyễn Chí Vịnh nói, hố bom thẳng hàng đều tăm tắp, kéo dài hàng km hàng chục quả bom chưa nổ vẫn nằm rải rác trong những khu rừng..
Tuvz Gm: Hôm nay ở Vĩnh Phúc lại phát hiện quả Dân Chủ còn sót lại.
Su Dang: Bom mìn là từ tự do, dân chủ nhân quyền của các nền văn minh mang đến giành cho… More

Tướng Nguyễn Chí Vịnh: ""Dân Việt Nam liều lắm, chở bom sau xe là bình thường""

Chia sẻ về giải quyết hậu qủa chiến tranh, tướng Vịnh nói: ""Chúng ta đã hợp tác với các cựu binh Mỹ. Và chính họ đã lên tiếng tác động Chính phủ Mỹ hợp tác với Việt Nam. Chúng ta phải cảm ơn nhân dân Mỹ"" #CanhCo
=====

Đình Thăng Vũ thang: Hãy một lần đến vùng biên giới tỉnh Bình Phước bạn sẽ cảm nhận được điều mà thượng tướng Nguyễn Chí Vịnh nói, hố bom thẳng hàng đều tăm tắp, kéo dài hàng km hàng chục quả bom chưa nổ vẫn nằm rải rác trong những khu rừng..

Tuvz Gm: Hôm nay ở Vĩnh Phúc lại phát hiện quả Dân Chủ còn sót lại.

Su Dang: Bom mìn là từ tự do, dân chủ nhân quyền của các nền văn minh mang đến giành cho…

Play Video"
719,"Ông ấy không thể kìm lòng được rồi!

Ông ấy không thể kìm lòng được rồi!

CANHCO.NET
Đại sứ Việt Nam đã khóc trước thảm cảnh dịch bệnh ở Ấn Độ
Ông Phạm Sanh Châu vừa đăng hình rơi nước mắt cùng với dòng tâm trạng đầy cảm xúc trên trang cá nhân mô tả thảm cảnh tại Ấn trong nạn dịch. Dòng trạng

CANHCO.NET
Đại sứ Việt Nam đã khóc trước thảm cảnh dịch bệnh ở Ấn Độ"
720,"Mọi hy vọng đã tan tành!

Mọi hy vọng đã tan tành!

CANHCO.NET
Xin chia buồn với những gia đình quân nhân nước bạn bị mất tích
Hy vọng giải cứu 53 thủy thủ trên tàu ngầm Indonesia mất tích gần như bị dập tắt vào sáng 24.4 khi oxy ước tính đã cạn kiệt. Theo AFP, tính đến sáng 24.4,

CANHCO.NET
Xin chia buồn với những gia đình quân nhân nước bạn bị mất tích"
721,"Ba Bác Việt Kiều Mỹ: Rất Vui Nhờ Có Ngày 30/4 Mà Đất Nước Không Ai Bị Chết Vì Chiến Tranh Nữa, Nhờ Đó Chúng Tôi Được Như Hôm Nay
(Cầm Nguyễn, Phong Nguyễn Và Phượng Nguyễn): Tháng Tư Đen là Họ Đang Diễn Tuồng… More Thôi, Vì Đó là Cái Nghề.
=====
Tuananh Luu: Nghe hai anh tâm sự bọn chống cộng chắc tức sùi bọt mép mà chết vì các a nói quá hay quá chuẩn
Bùi Thủy: Ai đã từng sống trong chiến tranh mới yêu quý và trân trọng sự bình yên của đất nước. Cảm ơn hai anh
Phiệt Nguyễn: 30/4 LÀ NGÀY ĐỎ - CHỨ KHÔNG PHẢI NGÀY ĐEN ĐÂU NGHE -- NGÀY ĐEN LÀ CỦA MẤY ANH ĂN BÁM GẠO LƯƠNG TIỀN MỸ NUÔI - HẾT MỸ NUÔI LÀ ĐEN CALI ƠI
Thi ty Nguyen: Cá hồi nó còn biết quay về nơi nó được sinh ra!
Quyet Tran: Ai… More

Ba Bác Việt Kiều Mỹ: Rất Vui Nhờ Có Ngày 30/4 Mà Đất Nước Không Ai Bị Chết Vì Chiến Tranh Nữa, Nhờ Đó Chúng Tôi Được Như Hôm Nay

(Cầm Nguyễn, Phong Nguyễn Và Phượng Nguyễn): Tháng Tư Đen là Họ Đang Diễn Tuồng Thôi, Vì Đó là Cái Nghề.
=====

Tuananh Luu: Nghe hai anh tâm sự bọn chống cộng chắc tức sùi bọt mép mà chết vì các a nói quá hay quá chuẩn

Bùi Thủy: Ai đã từng sống trong chiến tranh mới yêu quý và trân trọng sự bình yên của đất nước. Cảm ơn hai anh

Phiệt Nguyễn: 30/4 LÀ NGÀY ĐỎ - CHỨ KHÔNG PHẢI NGÀY ĐEN ĐÂU NGHE -- NGÀY ĐEN LÀ CỦA MẤY ANH ĂN BÁM GẠO LƯƠNG TIỀN MỸ NUÔI - HẾT MỸ NUÔI LÀ ĐEN CALI ƠI

Thi ty Nguyen: Cá hồi nó còn biết quay về nơi nó được sinh ra!

Quyet Tran: Ai…

Play Video"
722,"Kinh khủng quá không biết ông ấy có an toàn trở về Việt Nam không nữa!

Kinh khủng quá không biết ông ấy có an toàn trở về Việt Nam không nữa!

CANHCO.NET
Đại sứ VN tại Ấn Độ: “Chưa bao giờ cảm thấy lằn ranh giữa cái chết và sự sống lại mỏng manh đến thế”
Đại sứ Việt Nam tại Ấn Độ Phạm Sanh Châu chia sẻ tình hình Covid-19 ở Ấn Độ kinh khủng đến nỗi chưa bao giờ ông cảm thấy lằn ranh giữa cái chết và sự sống

CANHCO.NET
Đại sứ VN tại Ấn Độ: “Chưa bao giờ cảm thấy lằn ranh giữa cái chết và sự sống lại mỏng manh đến thế”"
723,"Cứ 5 phút sẽ có 1 người ra đi ở Ấn Độ! Cả thế giới sửng sốt không hiểu vì sao?

Cứ 5 phút sẽ có 1 người ra đi ở Ấn Độ! Cả thế giới sửng sốt không hiểu vì sao?

CANHCO.NET
Ấn Độ vỡ trận phòng chống COVID-19
Tình hình lây nhiễm COVID-19 và tử vong tại Ấn Độ đã khiến cả thế giới sửng sốt. Có thông tin nhiều người khá giả phải rời nước ra đi vì lo sợ cho tính

CANHCO.NET
Ấn Độ vỡ trận phòng chống COVID-19"
724,"Mới đây, facebook “Khanh Minh Tran” đã đăng tải một bức ảnh ca sĩ Hương Tràm chụp hình cùng với một người đàn ông và một bé trai để khẳng định rằng, “Ca sĩ Hương Tràm là tục tưng của ông Vương Đình Huệ, hiện đang ở và sinh đôi được 2 trai tại Mỹ”. Thông tin này, đã gây xôn xao dư luận, vậy sự thật là như thế nào?

Mới đây, facebook “Khanh Minh Tran” đã đăng tải một bức ảnh ca sĩ Hương Tràm chụp hình cùng với một người đàn ông và một bé trai để khẳng định rằng, “Ca sĩ Hương Tràm là tục tưng của ông Vương Đình Huệ, hiện đang ở và sinh đôi được 2 trai tại Mỹ”. Thông tin này, đã gây xôn xao dư luận, vậy sự thật là như thế nào?

CANHCO.NET
Cần nghiêm trị tin đồn về tình cảm đời tư của Chủ tịch Quốc Hội Vương Đình Huệ
Mới đây, facebook “Khanh Minh Tran” đã đăng tải một bức ảnh ca sĩ Hương Tràm chụp hình cùng với một người đàn ông và một bé trai để khẳng định rằng, “Ca

CANHCO.NET
Cần nghiêm trị tin đồn về tình cảm đời tư của Chủ tịch Quốc Hội Vương Đình Huệ"
725,"Dân mạng Ấn Độ tranh luận : Việt Nam là nước khiến Trung Quốc đau đầu nhất trên Biển Đông.
Nguồn: Quora, DQTube
----
Phan Xuy: VN rất cảm ơn người Anh Em an độ có tinh thần ủng hộ VN ở biển Đông
Anh Nguyen: … More Dân mạng Ấn Độ đúng là cao thủ
Hậu Ngọc: Ấn Độ nói đúng trên Biển Đông ngó ngược ngó xuôi chỉ có Việt Nam là đương đầu quyết liệt nhất
Luu Nguyen: Tặng vài quả bramos đi bạn ơi
Liên Ngô Thị: Mong cho các bạn Ấn Độ nhanh thoát khỏi khủng hoảng do đại dịch corona gây ra!
Xuân trường Ngô: Việt Nam làm thằng khựa đau đầu hàng ngàn năm nay rồi, chứ đâu chỉ có mỗi ở biển đông...xương quá nó không nuốt nổi.
Duc Ca Le: VN ứng xử mềm mỏng nhất nhưng gan lì nhất ở biển Đông, TQ không dể… More

Dân mạng Ấn Độ tranh luận : Việt Nam là nước khiến Trung Quốc đau đầu nhất trên Biển Đông.

Nguồn: Quora, DQTube

----

Phan Xuy: VN rất cảm ơn người Anh Em an độ có tinh thần ủng hộ VN ở biển Đông

Anh Nguyen: Dân mạng Ấn Độ đúng là cao thủ

Hậu Ngọc: Ấn Độ nói đúng trên Biển Đông ngó ngược ngó xuôi chỉ có Việt Nam là đương đầu quyết liệt nhất

Luu Nguyen: Tặng vài quả bramos đi bạn ơi

Liên Ngô Thị: Mong cho các bạn Ấn Độ nhanh thoát khỏi khủng hoảng do đại dịch corona gây ra!

Xuân trường Ngô: Việt Nam làm thằng khựa đau đầu hàng ngàn năm nay rồi, chứ đâu chỉ có mỗi ở biển đông...xương quá nó không nuốt nổi.

Duc Ca Le: VN ứng xử mềm mỏng nhất nhưng gan lì nhất ở biển Đông, TQ không dể…

This content isn't available right now
When this happens, it's usually because the owner only shared it with a small group of people, changed who can see it or it's been deleted."
726,"Bức ảnh chụp năm 1979 tại chiến trường Campuchia, người bên phải là thượng sỹ Nguyễn Trọng Đức. Điều đặc biệt là trước năm 1975, ông là một người lính biệt động quân của chế độ VNCH.
Sau 30/4/1975, ông cũng cầm… More cờ vẫy chào Quân Giải Phóng vào thành phố vì từ nay không còn cảnh anh em một nhà bắn giết nhau nữa.
Khi đang lao động làm ăn thì đọc báo thấy tin Pol Pot thảm sát dân ta ở An Giang, ông tức giận và xin gia nhập Quân đội nhân dân Việt Nam để chiến đấu bảo vệ đất nước.
Lần này ông cũng ra chiến trường, nhưng là đội mũ cối, cầm AK và đeo balo con cóc, lăn lộn khắp chiến trường K. Được biết có rất nhiều cựu phi công của QL VNCH đã gia nhập Quân đội Nhân Dân Việt Nam, lái máy bay dội… More

Bức ảnh chụp năm 1979 tại chiến trường Campuchia, người bên phải là thượng sỹ Nguyễn Trọng Đức. Điều đặc biệt là trước năm 1975, ông là một người lính biệt động quân của chế độ VNCH.

Sau 30/4/1975, ông cũng cầm cờ vẫy chào Quân Giải Phóng vào thành phố vì từ nay không còn cảnh anh em một nhà bắn giết nhau nữa.

Khi đang lao động làm ăn thì đọc báo thấy tin Pol Pot thảm sát dân ta ở An Giang, ông tức giận và xin gia nhập Quân đội nhân dân Việt Nam để chiến đấu bảo vệ đất nước.

Lần này ông cũng ra chiến trường, nhưng là đội mũ cối, cầm AK và đeo balo con cóc, lăn lộn khắp chiến trường K. Được biết có rất nhiều cựu phi công của QL VNCH đã gia nhập Quân đội Nhân Dân Việt Nam, lái máy bay dội…

"
727,"Tổng tiêu thụ điện của các nước ASEAN trước Co.vid-19
Trong ASEAN, Indonesia là quốc gia đứng đầu về tiêu thụ điện. Tính đến năm 2019 (trước Co.vid), tiêu thụ điện ở Indonesia là 248,94 tỷ kilowatt/giờ. Các… More quốc gia hàng đầu tiếp theo là Việt Nam, Thái Lan, Malaysia và Philippines. Tổng mức tiêu thụ điện của khu vực Đông Nam Á ước tính là 950,01 tỷ kw điện năm 2019.
Tuy nhiên, đại dịch đã làm chậm lại các hoạt động kinh tế, kéo theo sự sụt giảm về tiêu thụ điện. Dự kiến trong thời gian sắp tới, tình trạng này sẽ được khắc phục.
Lưu ý: Dữ liệu Myanmar chưa có
Dữ liệu: Dữ liệu năng lượng quốc tế 2019
📷 Uỷ ban ASEAN
#CanhCo

Tổng tiêu thụ điện của các nước ASEAN trước Co.vid-19

Trong ASEAN, Indonesia là quốc gia đứng đầu về tiêu thụ điện. Tính đến năm 2019 (trước Co.vid), tiêu thụ điện ở Indonesia là 248,94 tỷ kilowatt/giờ. Các quốc gia hàng đầu tiếp theo là Việt Nam, Thái Lan, Malaysia và Philippines. Tổng mức tiêu thụ điện của khu vực Đông Nam Á ước tính là 950,01 tỷ kw điện năm 2019.

Tuy nhiên, đại dịch đã làm chậm lại các hoạt động kinh tế, kéo theo sự sụt giảm về tiêu thụ điện. Dự kiến trong thời gian sắp tới, tình trạng này sẽ được khắc phục.

Lưu ý: Dữ liệu Myanmar chưa có

Dữ liệu: Dữ liệu năng lượng quốc tế 2019
📷 Uỷ ban ASEAN
#CanhCo

"
728,"Nhận lời mời của Tổng thống Mỹ Joe Biden, tối ngày 23/4, Chủ tịch nước Nguyễn Xuân Phúc có bài phát biểu quan trọng về chủ đề “Các lợi ích kinh tế của Hành động Khí hậu”..

Nhận lời mời của Tổng thống Mỹ Joe Biden, tối ngày 23/4, Chủ tịch nước Nguyễn Xuân Phúc có bài phát biểu quan trọng về chủ đề “Các lợi ích kinh tế của Hành động Khí hậu”..

CANHCO.NET
Chủ tịch nước Nguyễn Xuân Phúc có bài phát biểu quan trọng về khí hậu
Nhận lời mời của Tổng thống Mỹ Joe Biden, tối ngày 23/4, Chủ tịch nước Nguyễn Xuân Phúc có bài phát biểu quan trọng về chủ đề ""Các lợi ích kinh tế của

CANHCO.NET
Chủ tịch nước Nguyễn Xuân Phúc có bài phát biểu quan trọng về khí hậu"
729,"Dự án được kỳ vọng sẽ giải toả làm giảm ùn tắc khu vực ở sân bay Tân Sơn Nhất, tuy nhiên vẫn còn vài vướng mắc nho nhỏ.. :(

Dự án được kỳ vọng sẽ giải toả làm giảm ùn tắc khu vực ở sân bay Tân Sơn Nhất, tuy nhiên vẫn còn vài vướng mắc nho nhỏ.. :(

CANHCO.NET
TP.HCM xin đặc cách làm dự án 4.800 tỉ đồng giảm ùn tắc Tân Sơn Nhất
Xây dựng đường nối Trần Quốc Hoàn đến Cộng Hòa (quận Tân Bình) là 1 trong 5 dự án trọng điểm nhằm xóa, giảm ùn tắc khu vực sân bay Tân Sơn Nhất. UBND

CANHCO.NET
TP.HCM xin đặc cách làm dự án 4.800 tỉ đồng giảm ùn tắc Tân Sơn Nhất"
730,"Thủ tướng Chính phủ đánh giá thời gian qua, đã có nhiều chuyến bay chuyên chở các nhà ngoại giao, chuyên gia, nhà đầu tư, lao động kỹ thuật cao nước ngoài và thân nhân nhập cảnh Việt Nam, đồng thời đưa công… More dân, lao động Việt Nam có nhu cầu về nước. Tuy nhiên, công tác quản lý còn những bất cập, sự phối hợp giữa các cơ quan còn thiếu chặt chẽ, nhất là trong khâu tổ chức, giám sát các chuyến bay (tần suất chuyến bay, số lượng khách trên mỗi chuyến so với kế hoạch được phê duyệt). Số lượng người nhập cảnh về địa phương quá lớn trong thời gian ngắn đã gây khó khăn cho lực lượng chức năng phòng chống dịch của địa phương, tiềm ẩn nguy cơ lây lan dịch bệnh ra cộng đồng.
Thời gian tới, dịch… More

Thủ tướng Chính phủ đánh giá thời gian qua, đã có nhiều chuyến bay chuyên chở các nhà ngoại giao, chuyên gia, nhà đầu tư, lao động kỹ thuật cao nước ngoài và thân nhân nhập cảnh Việt Nam, đồng thời đưa công dân, lao động Việt Nam có nhu cầu về nước. Tuy nhiên, công tác quản lý còn những bất cập, sự phối hợp giữa các cơ quan còn thiếu chặt chẽ, nhất là trong khâu tổ chức, giám sát các chuyến bay (tần suất chuyến bay, số lượng khách trên mỗi chuyến so với kế hoạch được phê duyệt). Số lượng người nhập cảnh về địa phương quá lớn trong thời gian ngắn đã gây khó khăn cho lực lượng chức năng phòng chống dịch của địa phương, tiềm ẩn nguy cơ lây lan dịch bệnh ra cộng đồng.

Thời gian tới, dịch…

"
